State,County,Year,Poverty Rate
Minnesota,Freeborn County,2009,11.8
Minnesota,Goodhue County,2018,9.9
Minnesota,Goodhue County,2017,10.8
Minnesota,Goodhue County,2016,10.9
Minnesota,Goodhue County,2015,11.2
Minnesota,Goodhue County,2014,11.2
Minnesota,Goodhue County,2013,9.1
Minnesota,Goodhue County,2012,8.7
Minnesota,Goodhue County,2011,8.7
Minnesota,Goodhue County,2010,8.7
Minnesota,Goodhue County,2009,8.7
Minnesota,Grant County,2018,10.4
Minnesota,Grant County,2017,10.7
Minnesota,Grant County,2016,11.5
Minnesota,Grant County,2015,9.0
Minnesota,Grant County,2014,9.0
Minnesota,Grant County,2013,9.3
Minnesota,Grant County,2012,9.8
Minnesota,Grant County,2011,9.8
Minnesota,Grant County,2010,9.8
Minnesota,Grant County,2009,9.8
Minnesota,Hennepin County,2018,11.0
Minnesota,Hennepin County,2017,11.5
Minnesota,Hennepin County,2016,11.9
Minnesota,Hennepin County,2015,12.4
Minnesota,Hennepin County,2014,12.4
Minnesota,Hennepin County,2013,12.1
Minnesota,Hennepin County,2012,12.6
Minnesota,Hennepin County,2011,12.6
Minnesota,Hennepin County,2010,12.6
Minnesota,Hennepin County,2009,10.2
Minnesota,Houston County,2018,7.6
Minnesota,Houston County,2017,8.8
Minnesota,Houston County,2016,10.3
Minnesota,Houston County,2015,10.9
Minnesota,Houston County,2014,10.9
Minnesota,Houston County,2013,10.3
Minnesota,Houston County,2012,9.8
Minnesota,Houston County,2011,9.8
Minnesota,Houston County,2010,9.8
Minnesota,Houston County,2009,9.8
Minnesota,Hubbard County,2018,10.9
Minnesota,Hubbard County,2017,10.8
Minnesota,Hubbard County,2016,11.6
Minnesota,Hubbard County,2015,11.6
Minnesota,Hubbard County,2014,11.6
Minnesota,Hubbard County,2013,13.2
Minnesota,Hubbard County,2012,12.1
Minnesota,Hubbard County,2011,12.1
Minnesota,Hubbard County,2010,12.1
Minnesota,Hubbard County,2009,12.1
Minnesota,Isanti County,2018,7.1
Minnesota,Isanti County,2017,7.1
